,Date,Location,Efficiency of the admissions process,Helpfulness of admitting staff,Usefulness of leaflets provided,"Explanations about procedures, tests and treatment options",Explanation about benefits/risks of surgical interventions,Opportunity to ask questions about your condition or treatment,Nursing care and attention,Response time to nursing call system,Pain relief, Respect for your privacy,Comfort of room & surroundings,Cleanliness of room & surroundings,Attractiveness/decor,Timeliness of catering service,Quality of food served,Quantity of food served,Time given to planning your return home,Explanations about how to manage your condition and recovery at home,Clarity of instructions on take home medications, Efficiency of discharge process,Efficiency of billings process,Clarity of billing information,Staff Helpfulness,Quality of service you received
0,April 2019,Bourdillion,5.0,5.0,,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0
1,April 2019,Bourdillion,4.0,5.0,,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0
2,April 2019,Bourdillion,4.0,5.0,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,5.0
3,April 2019,Bourdillion,5.0,4.0,,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0
4,April 2019,Bourdillion,3.0,5.0,,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0
5,April 2019,Bourdillion,5.0,5.0,,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0
6,April 2019,Bourdillion,5.0,5.0,,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0
7,April 2019,Bourdillion,5.0,5.0,,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0
8,April 2019,Bourdillion,5.0,5.0,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0
9,April 2019,Bourdillion,4.0,4.0,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0
10,April 2019,Bourdillion,5.0,5.0,,5.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0
11,April 2019,Bourdillion,5.0,5.0,,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0
12,April 2019,Bourdillion,4.0,5.0,,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0
13,April 2019,Bourdillion,5.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0
14,April 2019,Bourdillion,5.0,4.0,,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0
15,April 2019,Bourdillion,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0
16,April 2019,Bourdillion,5.0,4.0,,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,2.0,5.0,5.0
17,April 2019,Bourdillion,5.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,5.0,5.0
18,April 2019,Bourdillion,5.0,5.0,,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0
19,April 2019,Bourdillion,3.0,5.0,,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0
20,April 2019,Bourdillion,5.0,5.0,,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0
21,April 2019,Bourdillion,3.0,5.0,,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0
22,April 2019,Bourdillion,4.0,5.0,,5.0,5.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0
23,April 2019,Bourdillion,5.0,5.0,,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
24,April 2019,Bourdillion,5.0,5.0,,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0
